state_abbrev,chamber,nominate_dim1,nominate_dim2,pieces_cosponsored,num_congresses,bioname,nominate_mid_1,nominate_mid_2,dem_cosponsors,rep_cosponsors,bill_number,vote_desc,vote_result,vote,rollnumber,icpsr,party_code_1,party_code_2
MI,0,-0.448,0.313,0.04412,0.65,"DINGELL, John David, Jr.",0.394,0.031,0.4,0.014953271028037384,HR2,Fair Minimum Wage Act,Passed,1,17,2605,0,0
MI,0,-0.658,-0.512,0.14349333333333333,0.525,"CONYERS, John, Jr.",0.394,0.031,0.4,0.014953271028037384,HR2,Fair Minimum Wage Act,Passed,1,17,10713,0,0
WI,0,-0.45,-0.063,0.017506666666666667,0.475,"OBEY, David Ross",0.394,0.031,0.4,0.014953271028037384,HR2,Fair Minimum Wage Act,Passed,1,17,12036,0,0
NY,0,-0.514,-0.341,0.15342666666666666,0.45,"RANGEL, Charles B.",0.394,0.031,0.4,0.014953271028037384,HR2,Fair Minimum Wage Act,Passed,1,17,13035,0,0
FL,0,0.325,-0.112,0.04316,0.45,"YOUNG, Charles William (Bill)",0.394,0.031,0.4,0.014953271028037384,HR2,Fair Minimum Wage Act,Passed,1,17,13047,0,1
OH,0,0.221,-0.223,0.029106666666666666,0.425,"REGULA, Ralph Straus",0.394,0.031,0.4,0.014953271028037384,HR2,Fair Minimum Wage Act,Passed,1,17,14045,0,1
CA,0,-0.631,-0.605,0.11750666666666666,0.425,"STARK, Fortney Hillman (Pete), Jr.",0.394,0.031,0.4,0.014953271028037384,HR2,Fair Minimum Wage Act,Passed,1,17,14053,0,0
AK,0,0.283,0.022,0.08352,0.425,"YOUNG, Donald Edwin",0.394,0.031,0.4,0.014953271028037384,HR2,Fair Minimum Wage Act,Passed,1,17,14066,0,1
PA,0,-0.265,0.569,0.03793333333333333,0.425,"MURTHA, John Patrick, Jr.",0.394,0.031,0.4,0.014953271028037384,HR2,Fair Minimum Wage Act,Passed,1,17,14072,0,0
CA,0,-0.552,-0.398,0.09141333333333333,0.4,"MILLER, George",0.394,0.031,0.4,0.014953271028037384,HR2,Fair Minimum Wage Act,Passed,1,17,14256,0,0
MN,0,-0.553,0.304,0.08076,0.4,"OBERSTAR, James Louis",0.394,0.031,0.4,0.014953271028037384,HR2,Fair Minimum Wage Act,Passed,1,17,14265,0,0
CA,0,-0.473,-0.343,0.10969333333333334,0.4,"WAXMAN, Henry Arnold",0.394,0.031,0.4,0.014953271028037384,HR2,Fair Minimum Wage Act,Passed,1,17,14280,0,0
TX,0,0.863,-0.505,0.04237333333333333,0.225,"PAUL, Ronald Ernest",0.394,0.031,0.4,0.014953271028037384,HR2,Fair Minimum Wage Act,Passed,0,17,14290,0,1
WA,0,-0.312,0.11,0.04308,0.375,"DICKS, Norman DeValois",0.394,0.031,0.4,0.014953271028037384,HR2,Fair Minimum Wage Act,Passed,1,17,14413,0,0
MI,0,-0.385,0.011,0.09432,0.375,"KILDEE, Dale Edward",0.394,0.031,0.4,0.014953271028037384,HR2,Fair Minimum Wage Act,Passed,1,17,14430,0,0
