state_abbrev,chamber,nominate_dim1,nominate_dim2,pieces_cosponsored,num_congresses,bioname,nominate_mid_1,nominate_mid_2,dem_cosponsors,rep_cosponsors,bill_number,vote_desc,vote_result,vote,rollnumber,icpsr,party_code_1,party_code_2
MI,0,-0.658,-0.512,0.14349333333333333,0.65,"CONYERS, John, Jr.",-0.384,0.923,0.0,0.0,S84,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,,58,10713,0,0
AK,0,0.283,0.022,0.08352,0.55,"YOUNG, Donald Edwin",-0.384,0.923,0.0,0.0,S84,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,,58,14066,0,1
MN,0,-0.372,-0.372,0.02748,0.125,"NOLAN, Richard Michael",-0.384,0.923,0.0,0.0,S84,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,,58,14263,0,0
WI,0,0.638,-0.579,0.05232,0.475,"SENSENBRENNER, Frank James, Jr.",-0.384,0.923,0.0,0.0,S84,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,,58,14657,0,1
KY,0,0.333,0.153,0.03849333333333333,0.45,"ROGERS, Harold Dallas (Hal)",-0.384,0.923,0.0,0.0,S84,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,,58,14854,0,1
NJ,0,0.182,-0.173,0.10092,0.45,"SMITH, Christopher Henry",-0.384,0.923,0.0,0.0,S84,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,,58,14863,0,1
MD,0,-0.381,0.122,0.05404,0.45,"HOYER, Steny Hamilton",-0.384,0.923,0.0,0.0,S84,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,,58,14873,0,0
TN,0,-0.164,-0.033,0.0488,0.325,"COOPER, James Hayes Shofner",-0.384,0.923,0.0,0.0,S84,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,,58,15019,0,0
OH,0,-0.342,0.132,0.13536,0.425,"KAPTUR, Marcia Carolyn (Marcy)",-0.384,0.923,0.0,0.0,S84,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,,58,15029,0,0
MI,0,-0.379,-0.091,0.07324,0.425,"LEVIN, Sander Martin",-0.384,0.923,0.0,0.0,S84,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,,58,15033,0,0
TX,0,0.528,0.047,0.03748,0.4,"BARTON, Joe Linus",-0.384,0.923,0.0,0.0,S84,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,,58,15085,0,1
IN,0,-0.402,0.244,0.031626666666666664,0.4,"VISCLOSKY, Peter",-0.384,0.923,0.0,0.0,S84,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,,58,15124,0,0
OR,0,-0.427,-0.002,0.10810666666666667,0.375,"DeFAZIO, Peter Anthony",-0.384,0.923,0.0,0.0,S84,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,,58,15410,0,0
GA,0,-0.589,-0.221,0.10930666666666666,0.375,"LEWIS, John R.",-0.384,0.923,0.0,0.0,S84,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,,58,15431,0,0
NC,0,-0.343,-0.03,0.07106666666666667,0.35,"PRICE, David Eugene",-0.384,0.923,0.0,0.0,S84,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,,58,15438,0,0
NY,0,-0.465,-0.104,0.08998666666666667,0.375,"SLAUGHTER, Louise McIntosh",-0.384,0.923,0.0,0.0,S84,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,,58,15444,0,0
TX,0,0.425,0.061,0.045226666666666665,0.375,"SMITH, Lamar Seeligson",-0.384,0.923,0.0,0.0,S84,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,,58,15445,0,1
MI,0,0.32,-0.355,0.05846666666666667,0.375,"UPTON, Frederick Stephen",-0.384,0.923,0.0,0.0,S84,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,,58,15446,0,1
CA,0,-0.489,-0.179,0.06732,0.375,"PELOSI, Nancy",-0.384,0.923,0.0,0.0,S84,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,,58,15448,0,0
NJ,0,-0.402,-0.162,0.08861333333333334,0.375,"PALLONE, Frank, Jr.",-0.384,0.923,0.0,0.0,S84,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,,58,15454,0,0
