state_abbrev,chamber,nominate_dim1,nominate_dim2,pieces_cosponsored,num_congresses,bioname,nominate_mid_1,nominate_mid_2,dem_cosponsors,rep_cosponsors,bill_number,vote_desc,vote_result,vote,rollnumber,icpsr,party_code_1,party_code_2
IA,1,0.362,-0.035,0.09996,0.55,"GRASSLEY, Charles Ernest",-0.583,0.812,0.0,0.022429906542056073,S1,"A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel, to reauthorize the United States-Jordan Defense Cooperation Act of 2015, and to halt the wholesale slaughter of the Syrian people, and for other purposes.",Bill Passed,1,16,14226,0,1
VT,1,-0.36,-0.121,0.10026666666666667,0.55,"LEAHY, Patrick Joseph",-0.583,0.812,0.0,0.022429906542056073,S1,"A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel, to reauthorize the United States-Jordan Defense Cooperation Act of 2015, and to halt the wholesale slaughter of the Syrian people, and for other purposes.",Bill Passed,0,16,14307,0,0
MA,1,-0.517,-0.47,0.13353333333333334,0.55,"MARKEY, Edward John",-0.583,0.812,0.0,0.022429906542056073,S1,"A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel, to reauthorize the United States-Jordan Defense Cooperation Act of 2015, and to halt the wholesale slaughter of the Syrian people, and for other purposes.",Bill Passed,0,16,14435,0,0
KS,1,0.413,-0.09,0.06358666666666667,0.475,"ROBERTS, Charles Patrick (Pat)",-0.583,0.812,0.0,0.022429906542056073,S1,"A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel, to reauthorize the United States-Jordan Defense Cooperation Act of 2015, and to halt the wholesale slaughter of the Syrian people, and for other purposes.",Bill Passed,1,16,14852,0,1
NY,1,-0.355,-0.414,0.10678666666666667,0.475,"SCHUMER, Charles Ellis (Chuck)",-0.583,0.812,0.0,0.022429906542056073,S1,"A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel, to reauthorize the United States-Jordan Defense Cooperation Act of 2015, and to halt the wholesale slaughter of the Syrian people, and for other purposes.",Bill Passed,1,16,14858,0,0
OR,1,-0.333,-0.487,0.11181333333333333,0.5,"WYDEN, Ronald Lee",-0.583,0.812,0.0,0.022429906542056073,S1,"A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel, to reauthorize the United States-Jordan Defense Cooperation Act of 2015, and to halt the wholesale slaughter of the Syrian people, and for other purposes.",Bill Passed,1,16,14871,0,0
KY,1,0.402,0.017,0.03762666666666667,0.425,"McCONNELL, Addison Mitchell (Mitch)",-0.583,0.812,0.0,0.022429906542056073,S1,"A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel, to reauthorize the United States-Jordan Defense Cooperation Act of 2015, and to halt the wholesale slaughter of the Syrian people, and for other purposes.",Bill Passed,1,16,14921,0,1
DE,1,-0.179,-0.225,0.06092,0.35,"CARPER, Thomas Richard",-0.583,0.812,0.0,0.022429906542056073,S1,"A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel, to reauthorize the United States-Jordan Defense Cooperation Act of 2015, and to halt the wholesale slaughter of the Syrian people, and for other purposes.",Bill Passed,0,16,15015,0,0
IL,1,-0.342,-0.31,0.1376,0.45,"DURBIN, Richard Joseph",-0.583,0.812,0.0,0.022429906542056073,S1,"A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel, to reauthorize the United States-Jordan Defense Cooperation Act of 2015, and to halt the wholesale slaughter of the Syrian people, and for other purposes.",Bill Passed,0,16,15021,0,0
MD,1,-0.32,-0.224,0.08349333333333334,0.4,"CARDIN, Benjamin Louis",-0.583,0.812,0.0,0.022429906542056073,S1,"A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel, to reauthorize the United States-Jordan Defense Cooperation Act of 2015, and to halt the wholesale slaughter of the Syrian people, and for other purposes.",Bill Passed,1,16,15408,0,0
