state_abbrev,chamber,nominate_dim1,nominate_dim2,pieces_cosponsored,num_congresses,bioname,nominate_mid_1,nominate_mid_2,dem_cosponsors,rep_cosponsors,bill_number,vote_desc,vote_result,vote,rollnumber,icpsr,party_code_1,party_code_2
MI,0,-0.448,0.313,0.04412,0.625,"DINGELL, John David, Jr.",-0.252,0.042,0.014953271028037384,0.04672897196261682,S5,Class Action Fairness Act,Passed,0,37,2605,0,0
MI,0,-0.658,-0.512,0.14349333333333333,0.5,"CONYERS, John, Jr.",-0.252,0.042,0.014953271028037384,0.04672897196261682,S5,Class Action Fairness Act,Passed,0,37,10713,0,0
WI,0,-0.45,-0.063,0.017506666666666667,0.45,"OBEY, David Ross",-0.252,0.042,0.014953271028037384,0.04672897196261682,S5,Class Action Fairness Act,Passed,0,37,12036,0,0
FL,0,0.325,-0.112,0.04316,0.425,"YOUNG, Charles William (Bill)",-0.252,0.042,0.014953271028037384,0.04672897196261682,S5,Class Action Fairness Act,Passed,1,37,13047,0,1
OH,0,0.221,-0.223,0.029106666666666666,0.4,"REGULA, Ralph Straus",-0.252,0.042,0.014953271028037384,0.04672897196261682,S5,Class Action Fairness Act,Passed,1,37,14045,0,1
CA,0,-0.631,-0.605,0.11750666666666666,0.4,"STARK, Fortney Hillman (Pete), Jr.",-0.252,0.042,0.014953271028037384,0.04672897196261682,S5,Class Action Fairness Act,Passed,0,37,14053,0,0
AK,0,0.283,0.022,0.08352,0.4,"YOUNG, Donald Edwin",-0.252,0.042,0.014953271028037384,0.04672897196261682,S5,Class Action Fairness Act,Passed,1,37,14066,0,1
PA,0,-0.265,0.569,0.03793333333333333,0.4,"MURTHA, John Patrick, Jr.",-0.252,0.042,0.014953271028037384,0.04672897196261682,S5,Class Action Fairness Act,Passed,1,37,14072,0,0
IL,0,0.312,-0.18,0.06781333333333334,0.375,"HYDE, Henry John",-0.252,0.042,0.014953271028037384,0.04672897196261682,S5,Class Action Fairness Act,Passed,1,37,14239,0,1
CA,0,-0.552,-0.398,0.09141333333333333,0.375,"MILLER, George",-0.252,0.042,0.014953271028037384,0.04672897196261682,S5,Class Action Fairness Act,Passed,0,37,14256,0,0
